Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_Status,Housing_Type,Age,Employed_Year,Work_Phone,Phone,Email_Id,Type_Occupation,Family_Members,Label
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House,52.0,-0.0,0,0,0,Others,2,1
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House,38.0,2.0,1,1,0,Others,2,1
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House,38.0,2.0,1,1,0,Others,2,1
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House,38.0,2.0,1,1,0,Others,2,1
F,N,N,0,180000.0,Pensioner,Secondary,Married,House,61.0,-0.0,0,0,0,Others,2,1
F,Y,Y,0,90000.0,Working,Secondary,Married,House,52.0,3.0,1,1,0,Cooking staff,2,1
F,Y,Y,0,90000.0,Working,Secondary,Married,House,52.0,3.0,1,1,0,Cooking staff,2,1
M,N,Y,0,270000.0,Working,Secondary,Married,House,47.0,1.0,0,0,0,Laborers,2,1
M,N,Y,0,270000.0,Working,Secondary,Single,House,47.0,1.0,0,0,0,Laborers,2,1
F,N,Y,0,126000.0,Commercial associate,Higher education,Single,House,52.0,7.0,0,0,0,Sales staff,1,1
F,N,Y,0,126000.0,Commercial associate,Higher education,Single,House,52.0,7.0,0,0,0,Sales staff,1,1
M,N,Y,0,90000.0,Pensioner,Secondary,Married,House,52.0,5.0,0,0,1,Others,2,1
M,N,N,0,202500.0,Working,Higher education,Single,House,36.0,12.0,0,0,0,Others,1,1
M,Y,Y,0,202500.0,Commercial associate,Secondary,Civil marriage,House,33.0,5.0,0,0,1,Laborers,2,1
M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House,49.0,3.0,0,0,0,Accountants,2,1
F,N,Y,2,112500.0,Commercial associate,Secondary,Married,House,34.0,3.0,0,0,0,Sales staff,4,1
F,N,Y,0,180000.0,Working,Higher education,Married,House,44.0,3.0,0,0,0,Laborers,2,1
F,N,Y,0,112500.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,1,0,Others,2,1
F,N,Y,0,90000.0,Working,Lower secondary,Single,Rented apartment,33.0,14.0,0,0,0,Cleaning staff,2,1
F,N,Y,0,112500.0,Pensioner,Secondary,Married,House,60.0,-0.0,0,1,1,Others,2,1
F,N,N,0,135000.0,Working,Higher education,Single,House,30.0,7.0,0,0,0,Laborers,1,1
F,Y,N,1,135000.0,Working,Secondary,Married,House,44.0,2.0,1,0,0,Sales staff,3,1
M,N,Y,0,180000.0,Working,Secondary,Married,House,36.0,10.0,0,0,0,Others,2,1
M,Y,N,0,112500.0,State servant,Secondary,Single,House,56.0,5.0,0,0,0,Drivers,2,1
M,Y,Y,0,292500.0,Working,Higher education,Married,House,58.0,3.0,0,0,0,Drivers,2,1
F,Y,Y,0,76500.0,Pensioner,Secondary,Married,House,66.0,-0.0,0,0,0,Others,2,1
M,Y,Y,0,215100.0,Commercial associate,Secondary,Married,House,53.0,4.0,0,1,0,Laborers,2,1
